DocumentID,ProjectName,DocumentName,DocumentURI,ResolvedPath,Desc,Notes,Category,AddedOn
54,General,"Discussion on New Projects - Dr Patric , Miolex etc","\1\Discussion on New Projects - Dr Patric , Miolex etc-2022-1-17-637780093435518423.rtf","D:\DBX\LocalDocFolder\1\Discussion on New Projects - Dr Patric , Miolex etc-2022-1-17-637780093435518423.rtf","BMJO ,Bipin",,Minutes,1/17/2022
89,iEMG,iEDXDesktopApp backUp ,\2\iEDXDesktopApp-2022-1-28-16-21-44.rar,D:\DBX\LocalDocFolder\2\iEDXDesktopApp-2022-1-28-16-21-44.rar,before checkin,,TempFiles,1/28/2022
229,iEMG,EIMMeasurementManager.java conflited in git,\2\EIMMeasurementManager-2022-3-25-6-10-16.java,D:\DBX\LocalDocFolder\2\EIMMeasurementManager-2022-3-25-6-10-16.java,,,TempFiles,3/25/2022
230,iEMG,MuscleProfileManager.java conflicted,\2\MuscleProfileManager-2022-3-25-6-11-26.java,D:\DBX\LocalDocFolder\2\MuscleProfileManager-2022-3-25-6-11-26.java,,,TempFiles,3/25/2022
441,DevDiary,Dev Diary Loc,\Local\DevDiary,D:\DBX\LocalDocFolder\Local\DevDiary,,,General,5/20/2022
733,iEDX-Haystack,IQ Demodulation test with Real values collected by firmware -filtered - 1000 ohm 520 Ohm,IQ Demod with 500 ohm 1Khz Filtered Firmware Implementation,D:\DBX\LocalDocFolder\IQ Demod with 500 ohm 1Khz Filtered Firmware Implementation,,,General,9/2/2022
908,Anasthesia Machine,BPL Ansthesia  Meeting ,\18\BPL General Meeting -2022-11-8-638035180929767757.rtf,D:\DBX\LocalDocFolder\18\BPL General Meeting -2022-11-8-638035180929767757.rtf,,,Minutes,11/8/2022
909,BPL CPAB,General  Meeting ,\14\General  Meeting -2022-11-8-638035186822812840.rtf,D:\DBX\LocalDocFolder\14\General  Meeting -2022-11-8-638035186822812840.rtf,,,Minutes,11/8/2022
910,General,Growth General Meeting,\1\Growth General Meeting-2022-11-8-638035220093279084.rtf,D:\DBX\LocalDocFolder\1\Growth General Meeting-2022-11-8-638035220093279084.rtf,,,Minutes,11/8/2022
916,Sibel App,Weekly Meeting ,\16\Weekly Meeting -2022-11-8-638035332142794529.rtf,D:\DBX\LocalDocFolder\16\Weekly Meeting -2022-11-8-638035332142794529.rtf,,,Minutes,11/8/2022
917,Anasthesia Machine,General Meeting ,\18\General Meeting -2022-11-9-638035707612485953.rtf,D:\DBX\LocalDocFolder\18\General Meeting -2022-11-9-638035707612485953.rtf,,,Minutes,11/9/2022
918,General,Planning Meeting ,\1\Planning Meeting -2022-11-9-638035850218701610.rtf,D:\DBX\LocalDocFolder\1\Planning Meeting -2022-11-9-638035850218701610.rtf,,,Minutes,11/9/2022
920,BPL CPAB,Weekly Meeting ,\14\General Meeting -2022-11-9-638036058521677448.rtf,D:\DBX\LocalDocFolder\14\General Meeting -2022-11-9-638036058521677448.rtf,,,Minutes,11/9/2022
922,General,Weekly Meeting ,\1\Weekly Meeting -2022-11-10-638036679257191331.rtf,D:\DBX\LocalDocFolder\1\Weekly Meeting -2022-11-10-638036679257191331.rtf,,,Minutes,11/10/2022
926,Spacelab DIS,General SL Distribution Meeting ,\13\General SL Distribution Meeting -2022-11-10-638036753152162781.rtf,D:\DBX\LocalDocFolder\13\General SL Distribution Meeting -2022-11-10-638036753152162781.rtf,,,Minutes,11/10/2022
927,General,SL  Meeting ,\1\SL  Meeting -2022-11-10-638036793944216359.rtf,D:\DBX\LocalDocFolder\1\SL  Meeting -2022-11-10-638036793944216359.rtf,,,Minutes,11/10/2022
928,iEDX-Haystack,HDX General Meeting ,\3\HDX General Meeting -2022-11-10-638036885154510819.rtf,D:\DBX\LocalDocFolder\3\HDX General Meeting -2022-11-10-638036885154510819.rtf,,,Minutes,11/10/2022
929,Sibel App,General Security Complinace adn design History  Meeting ,\16\General Security Complinace adn design History  Meeting -2022-11-11-638037606790899501.rtf,D:\DBX\LocalDocFolder\16\General Security Complinace adn design History  Meeting -2022-11-11-638037606790899501.rtf,,,Minutes,11/11/2022
930,BPL CPAB,ID Concept  Meeting ,\14\ID Concept  Meeting -2022-11-11-638037857317722732.rtf,D:\DBX\LocalDocFolder\14\ID Concept  Meeting -2022-11-11-638037857317722732.rtf,,,Minutes,11/11/2022
931,IOMT Platform,WebSocket Client Used in CMS nuget adding,\5\ScreenShot-834.bmp,D:\DBX\LocalDocFolder\5\ScreenShot-834.bmp,,,General,11/13/2022
932,IOMT Platform,CMSWebSockClient.cs,\5\CMSWebSockClient-2022-11-13-8-35-53.cs,D:\DBX\LocalDocFolder\5\CMSWebSockClient-2022-11-13-8-35-53.cs,"This web socket client is created baed on .net.socket webscoket client. It faceed a problem of receiving same message multile times and in different orders . Eevn after clsing the connetion ot send packets continously

Then replaced it with another websock implemntation. Found that it also used underlyimg same .net imlenattaion (or seesm like) but it worked perfectly
This was used in the CMS solution",,TempFiles,11/13/2022
933,IOMT Platform,CMSWebSockClient.cs,\5\CMSWebSockClient-2022-11-13-8-36-39.cs,D:\DBX\LocalDocFolder\5\CMSWebSockClient-2022-11-13-8-36-39.cs,,,TempFiles,11/13/2022
934,General,FreshtoRely Weekly Meeting ,\1\FreshtoRely Weekly Meeting -2022-11-14-638040207184008605.rtf,D:\DBX\LocalDocFolder\1\FreshtoRely Weekly Meeting -2022-11-14-638040207184008605.rtf,,,Minutes,11/14/2022
936,IOMT Platform,CMS Screen Shot BioVision,\5\ScreenShot-815.bmp,D:\DBX\LocalDocFolder\5\ScreenShot-815.bmp,,,General,11/14/2022
941,Sibel App,General Meeting Reg Space Lab design  review,\16\General Meeting -2022-11-15-638041084082257147.rtf,D:\DBX\LocalDocFolder\16\General Meeting -2022-11-15-638041084082257147.rtf,,,Minutes,11/15/2022
945,Sibel App,Design History Meeting ,\16\Design History Meeting -2022-11-15-638041376856115939.rtf,D:\DBX\LocalDocFolder\16\Design History Meeting -2022-11-15-638041376856115939.rtf,,,Minutes,11/15/2022
946,BPL CPAB,Weekly Meeting ,\14\Weekly Meeting -2022-11-16-638042108900829432.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-11-16-638042108900829432.rtf,,,Minutes,11/16/2022
953,NEERS Hardware and Firmware,Bi Weekly Meeting ,\12\Bi Weekly Meeting -2022-11-18-638043932952837753.rtf,D:\DBX\LocalDocFolder\12\Bi Weekly Meeting -2022-11-18-638043932952837753.rtf,,,Minutes,11/18/2022
959,General,Fresh to rely Weekly Meeting ,\1\Fresh to rely Weekly Meeting -2022-11-21-638046253823573373.rtf,D:\DBX\LocalDocFolder\1\Fresh to rely Weekly Meeting -2022-11-21-638046253823573373.rtf,,,Minutes,11/21/2022
960,BPL CPAB,Internal Weekly Meeting ,\14\Weekly Meeting -2022-11-21-638046278072495421.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-11-21-638046278072495421.rtf,,,Minutes,11/21/2022
961,Sibel App,Weekly Meeting ,\16\General Meeting-2022-11-21-638046598443357049.rtf,D:\DBX\LocalDocFolder\16\General Meeting-2022-11-21-638046598443357049.rtf,,,Minutes,11/21/2022
968,HR,Shocking salary expectation from partime employee,\7\ScreenShot-159.bmp,D:\DBX\LocalDocFolder\7\ScreenShot-159.bmp,,,General,11/23/2022
969,General,Nihon Kohden General Meeting ,\1\Nihon Kohden General Meeting -2022-11-23-638047995097057675.rtf,D:\DBX\LocalDocFolder\1\Nihon Kohden General Meeting -2022-11-23-638047995097057675.rtf,,,Minutes,11/23/2022
970,BPL CPAB,Weekly Meeting ,\14\Weekly Meeting -2022-11-23-638048154844798134.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-11-23-638048154844798134.rtf,,,Minutes,11/23/2022
971,Not used,General Meeting ,\17\General Meeting -2022-11-24-638048786485502785.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-11-24-638048786485502785.rtf,,,Minutes,11/24/2022
976,General,General Planning Meeting ,\1\General Planning Meeting -2022-11-24-638048837096011019.rtf,D:\DBX\LocalDocFolder\1\General Planning Meeting -2022-11-24-638048837096011019.rtf,,,Minutes,11/24/2022
980,Sibel App,ECGDataSource.kt,\16\ECGDataSource-2022-11-24-14-52-1.kt,D:\DBX\LocalDocFolder\16\ECGDataSource-2022-11-24-14-52-1.kt,,,TempFiles,11/24/2022
981,Sibel App,PPGDataSource.kt,\16\PPGDataSource-2022-11-24-14-52-17.kt,D:\DBX\LocalDocFolder\16\PPGDataSource-2022-11-24-14-52-17.kt,,,TempFiles,11/24/2022
982,Sibel App,XYDataSource.kt,\16\XYDataSource-2022-11-24-14-52-30.kt,D:\DBX\LocalDocFolder\16\XYDataSource-2022-11-24-14-52-30.kt,,,TempFiles,11/24/2022
988,General,Object oriented Mistake in passing object to same object,\1\ScreenShot-455.bmp,D:\DBX\LocalDocFolder\1\ScreenShot-455.bmp,,,General,11/27/2022
989,Sibel App,General Meeting -Internal,\16\General Meeting -Internal-2022-11-28-638052335558894431.rtf,D:\DBX\LocalDocFolder\16\General Meeting -Internal-2022-11-28-638052335558894431.rtf,"prajoy,smita,priyanka",,Minutes,11/28/2022
990,General,SL Visit Meeting,\1\SL Visit Meeting-2022-11-28-638052501656969385.rtf,D:\DBX\LocalDocFolder\1\SL Visit Meeting-2022-11-28-638052501656969385.rtf,,,Minutes,11/28/2022
993,IOMT Platform,CMS ScreenShot-410 image,\5\ScreenShot-410.bmp,D:\DBX\LocalDocFolder\5\ScreenShot-410.bmp,,,General,11/30/2022
995,BPL CPAB,Weekly Meeting ,\14\Weekly Meeting -2022-11-30-638054207083216844.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-11-30-638054207083216844.rtf,,,Minutes,11/30/2022
1002,NEERS Hardware and Firmware,Bi Weekly Meeting ,\12\Bi Weekly Meeting -2022-12-2-638056036733925781.rtf,D:\DBX\LocalDocFolder\12\Bi Weekly Meeting -2022-12-2-638056036733925781.rtf,,,Minutes,12/2/2022
1003,General,SL Visit Planning General Meeting,\1\General Meeting-2022-12-5-638058345928331804.rtf,D:\DBX\LocalDocFolder\1\General Meeting-2022-12-5-638058345928331804.rtf,,,Minutes,12/5/2022
1004,General,Weekly Meeting ,\1\Weekly Meeting -2022-12-5-638058355183666010.rtf,D:\DBX\LocalDocFolder\1\Weekly Meeting -2022-12-5-638058355183666010.rtf,,,Minutes,12/5/2022
1007,Not used,General Meeting ,\17\General Meeting -2022-12-6-638059034026972468.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-12-6-638059034026972468.rtf,,,Minutes,12/6/2022
1008,Not used,General Meeting ,\17\General Meeting -2022-12-6-638059056040522807.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-12-6-638059056040522807.rtf,,,Minutes,12/6/2022
