DocumentID,ProjectName,DocumentName,DocumentURI,HTTPStatusCode,ErrorReason,Desc,Notes,Category,AddedOn
58,iEDX-Haystack,Haystack iEDX harware Bringup revised shedule ,https://docs.google.com/spreadsheets/d/1Vji49TQgLQ9sbkRHwfeSdRPkWSok0Omg/edit#gid=898598958,410,HTTP 410,Haystack iEDX harware Bringup revised shedule ,,Schedule,1/17/2022
307,iEDX-Haystack,HRD review comments HDX,https://docs.google.com/spreadsheets/d/1PTnxAsNpU4y7Gq-F6AEL3Rzod7UBYjAS/edit?usp=sharing&ouid=114256007696078298953&rtpof=true&sd=true,410,HTTP 410,,,General,4/13/2022
101,TrackV Firmware,TrackV hardware boards Tracking sheet,https://docs.google.com/spreadsheets/d/1KH2T4MM7YRybBs3m__AazG7Z7USolMa1Q2oyPthtITA/edit#gid=0,410,HTTP 410,,,TechDoc,1/31/2022
43,iEDX-Haystack,Board Bringup Plan ,https://docs.google.com/spreadsheets/d/19h63Yb8hkX2CxskGsId80jL6sIgVyaQ1MCpqxs9lKf4/edit#gid=352468169,410,HTTP 410,Board bringup plan ,,Schedule,1/11/2022
40,HR,Git ID Lists,https://docs.google.com/spreadsheets/d/18RLDHoIcXLF_mTFV42bQkrkTJZMyqoCsRHmR6WP9XbQ/edit?usp=sharing,410,HTTP 410,employee git id list ( gitid git ),,HR,1/3/2022
170,General,Ariatele Wifi Enabling Proposal,https://docs.google.com/document/d/1S_yyirpj_FscMLqLq-6ONBXAf_Ax-2y6/edit,410,HTTP 410,,,Proposal,2/18/2022
264,iEDX-Haystack,FDA Frequency Sample duration Calculations,https://docs.google.com/spreadsheets/d/1iE-NCDJVilkwQmObyt-izEKMWqc3XXkYEyScAN8BfjM/edit#gid=0,410,HTTP 410,,,General,3/31/2022
66,IOMT Platform,IOMT Step-Step Tenant and Cutomer account setup PPT,https://docs.google.com/presentation/d/1BCwnaXl_q4sd5FA_ONO6_owUESgSL2DlhXvQQSKNruQ/edit#slide=id.gdc6316f5a0_0_172,410,HTTP 410,IOMT Step-Step Tenant and Cutomer account setup PPT,,TechDoc,1/21/2022
209,General,Inventory List and Old laptop list,https://docs.google.com/spreadsheets/d/1qzUvS12qSQcypot9mkz6g_5iJHq-6Ege1Va0YIGnTH8/edit?usp=sharing,410,HTTP 410,,,General,3/8/2022
260,iEDX-Haystack,EMG systems comparison for FDA,https://docs.google.com/document/d/1u8ZUmsEuQPo9SK5D6imvW1U-3bDJmfNJ/edit,410,HTTP 410,,,TechDoc,3/30/2022
288,iEDX-Haystack,FDA questions Sheila,https://docs.google.com/document/d/1UUTkTe0xEToQOAZBo9wvt2ynzk9GZHTX/edit,410,HTTP 410,,,General,4/7/2022
37,HR,Leave Tracking Sheet,https://docs.google.com/spreadsheets/d/1jOPm7Qddc9_LiWDJr-fvTbRVJcGTrsYIfMdFZwVFBUI/edit?usp=sharing,410,HTTP 410,Leave Tracking Sheet ,,HR,1/3/2022
38,HR,Purchase and Expense Account Statement,https://docs.google.com/spreadsheets/d/1zLSpeEwYZTOzX69uqOZhRw54V7RWmY6nn918G_roUcA/edit?usp=sharing,410,HTTP 410,Purchase and Expense Account Statement,,Accounts,1/3/2022
333,iEDX-Haystack,HDX Pending docs to deliver,https://docs.google.com/spreadsheets/d/1KDm9kVLj8TCoyuOhjhL34iwvvtTmZJl5tCS5cm2JuVM/edit#gid=0,410,HTTP 410,,,General,4/20/2022
358,NEERS Hardware and Firmware,Stimulus generating ckt single darlington pair,https://docs.google.com/document/d/1a3Nopvu3SfxE8Hu93QqRehFqWG8RjNDtySKXuiWacus/edit,410,HTTP 410,,,General,4/26/2022
440,NEERS Hardware and Firmware,NEERS Solution by previous vendor videos,https://drive.google.com/drive/folders/1OPTaZLlgHlbvDBVYPdjwvlBuzOSm8WQp,404,HTTP 404,,,General,5/20/2022
427,NEERS Hardware and Firmware,Videos of Bostock system demo given to Bipin during Us Visit NEERS,https://drive.google.com/drive/folders/12l-SuQt7MAyXWquzIPGeVtOVGg2wCztk,404,HTTP 404,,,General,5/17/2022
460,Spacelab DIS,Sibel Patch Spacelab Bedside Monitor PPT prepared to present to zach to finalize the plan,https://docs.google.com/presentation/d/1RZaVW-DonzFQtHQWfl5rvofWzWazJ6cQ/edit#slide=id.g12ce381cba0_2_20,410,HTTP 410,Prepared by whole team ,,General,5/24/2022
473,Spacelab Projects,Khaleel spacelab tour report Bhopal chandighar,https://docs.google.com/document/d/1DWRlAYgjcU78hH0cswlZa34oGLq4OF1Z6kkGbvIydUY/edit,410,HTTP 410,,,General,5/27/2022
479,General,Laryngoscope Components by Jijil BPL ,https://docs.google.com/document/d/1Kc7SR4F87B6hLItypqBjoyLAaSx6Fb2Ar2gKIfna95M/edit?usp=sharing,410,HTTP 410,doc prepared for bipin discussions to collect data,,General,5/30/2022
480,General,DEFIBRILLATOR BASICS by jijil,https://docs.google.com/document/d/1SV4JI8c6Mjrie2Mhs8uT7NFqHvDFrnW2xQSrfiXEMfo/edit?usp=sharing,410,HTTP 410,Prepared for BPL discussions - for Bpin to talk points,,General,5/30/2022
481,IOMT Platform,CMS UI By Khaleel,https://docs.google.com/document/d/1F6d-kDUJmHv4I5PffNDhWAjgjlKnYiNmh6iSWblO9AY/edit,410,HTTP 410,,,General,5/30/2022
474,General,Ensilica reserach document prepared by Jijil,https://docs.google.com/document/d/166pyIYinTmckHZSR3KO3Wh4Rpe4EXYhNxzPvocjZ6yo/edit,410,HTTP 410,,,General,5/27/2022
633,iEDX-Haystack,IO Demod stepped sine test results for firmware implemntation,https://docs.google.com/spreadsheets/d/1OXXV2kNwX8kvLKLm1JB80Ht078wWB0gV/edit#gid=1153085930,410,HTTP 410,,,General,8/5/2022
649,iEDX-Haystack,IDX Firmware Release Note 8-16-2022,https://docs.google.com/document/d/1PKTo9YVVNPYoWK45dwIxTJUpRos4ANvf/edit,410,HTTP 410,,,General,8/17/2022
656,IOMT Platform,Dharward IPD HMS Integration Tasks and schedule,https://docs.google.com/spreadsheets/d/10myTHiCo6NDStNoKn_mVVSDofo7QBtX9VT3XEL15PjY/edit?usp=sharing,410,HTTP 410,,,General,8/18/2022
734,iEDX-Haystack,IQDemod with data collected using firmware with out FPGA,https://drive.google.com/drive/folders/1w5s5LRLgiwRbCOz74tlUaZNz3LwQHamC,404,HTTP 404,IQDemod with data collected using firmware with out FPGA,,General,9/2/2022
911,General,Blockage Detection in Endotracheal Tube,https://docs.google.com/presentation/d/1BQemYSBLW70bYnmTFtH_yYFD257RSgMF/edit#slide=id.p1,410,HTTP 410,,,General,11/8/2022
942,Sibel App,Sibel Design and Architecture Document SpaceLab Hub,https://docs.google.com/document/d/1TpvDA2UDAoNvtUzWnm0695bjOOn6DupM8DHLzWUFQQw/edit?usp=sharing,410,HTTP 410,,,General,11/15/2022
1248,General,Sibel Stand Docking Station SOW,https://docs.google.com/document/d/1kBWQWDH4dzUv3hJ24rtjTuhMR4GfOD7T/edit,410,HTTP 410,,,SOW,20-01-2023
1284,General,Health Patch Schedule - SOW,https://docs.google.com/spreadsheets/d/1ZL4GXSo2-MXWZ5lY9I8VhOViiYjvDUDaS7kRZmLROJc/edit#gid=9867960,410,HTTP 410,,,Schedule,25-01-2023
1286,General,LuxiSense Sow 1.5,https://docs.google.com/document/d/1RMw3ttxBY8utBamrLszbyeC6GJKrf2nV/edit,410,HTTP 410,,,General,25-01-2023
1460,General,Health patch SOW 1.4,https://docs.google.com/document/d/121SO8GzBRkO7I1pewqYP8R5rxi8wmMUh/edit?usp=sharing&ouid=114256007696078298953&rtpof=true&sd=true,410,HTTP 410,,,SOW,21-02-2023
1849,General,Health patch PTT bioimpedance SOW V 1.4,https://docs.google.com/document/d/121SO8GzBRkO7I1pewqYP8R5rxi8wmMUh/edit,410,HTTP 410,,,TechDoc,03-04-2023
1760,Sibel App,SpaceLab (SLHUB) Bedside Monitor Development Full Proposal SOW,https://docs.google.com/document/d/1p8BCY_sqUMGx-kfFwfXqrxjLeZD7i5zeIahG_h0Os2k/edit#,410,HTTP 410,,,SOW,30-03-2023
1848,General,Health patch PTT,https://docs.google.com/document/d/1vUz_P-M-OrhQq_aeEGbiYKrWcMfXWCKev3N8W-E_ov4/edit#heading=h.gjdgxs,410,HTTP 410,,,TechDoc,03-04-2023
1850,General,Health patch Research Phase SOW PTT Bioimpednace desktop system ,https://docs.google.com/document/d/1l5Kp2Krg1m0ZRN9uFq3MQyAS-lFcxZ2d/edit#heading=h.gjdgxs,410,HTTP 410,,,Documents,03-04-2023
2101,General,Body Mount Multi Paramter Monitoring System for Kottayam Medical college SOW,https://docs.google.com/document/d/1fYOBQk0jmkP9vu9Fk12EISU5pEWobDst-FDuUl2dSlM/edit,410,HTTP 410,,,SOW,18-04-2023
2447,General,IR Emiter and  Detectors for CAMS project,https://docs.google.com/spreadsheets/d/1U798zZhh9BoDAezuYmMIWPakMs5hVzvdaTUwjSwHIzM/edit#gid=0,410,HTTP 410,,,General,06-06-2023
2458,NEERS Hardware and Firmware,NEERS AT+COMMANS at+command,https://docs.google.com/document/d/1NPXvpIeBrvoRezlqg-pcEBtPlWDJXb66GVcMjLiKg-I/edit#heading=h.knd4c4hjb0dc,410,HTTP 410,,,TechDoc,08-06-2023
